vector_size,window,min_count,sg,moor_variance_mean_sim,moor_mean_std,moor_sim_range,moor_trend_strength,moor_n_decades,moor_coverage,inboorling_variance_mean_sim,inboorling_mean_std,inboorling_sim_range,inboorling_trend_strength,inboorling_n_decades,inboorling_coverage,total_records,avg_coverage
50,5,3,0,0.001243357230675832,0.07734550923027787,0.11317259551085923,0.5289607746551142,10,1.0,0.025029886640790262,0.19687758617896828,0.5148500321386921,0.5733928715373422,10,1.0,20,1.0
50,5,3,1,0.00028159224406354926,0.06015244654036691,0.04967648719326434,0.20616377960606658,10,1.0,0.0008803092046468933,0.08733507022399799,0.10073085063195963,0.14931283589674005,10,1.0,20,1.0
50,5,4,0,0.0042589168431547975,0.133020787033559,0.2203108889445835,0.5715409322224477,10,1.0,0.03645266444737941,0.22025531219039407,0.6054276985161433,0.4090638324017002,10,1.0,20,1.0
50,5,4,1,0.0024215612392872216,0.09272248877927924,0.17628109017461668,0.3857169624980485,10,1.0,0.01587651037148559,0.15705618747239328,0.4637616377959185,0.3797595755069872,10,1.0,20,1.0
50,5,5,0,0.0034613207534755592,0.15310649277523328,0.1714505671740122,0.3076763398735546,10,1.0,0.03800358756156961,0.22271805432118125,0.5734617071047304,0.28356713385216636,10,1.0,20,1.0
50,5,5,1,0.0022423130236254004,0.11011981469607135,0.12930507993663087,0.15659937123853304,10,1.0,0.02301936200842361,0.1840401187560317,0.5150332729271113,0.2852164667514108,10,1.0,20,1.0
50,7,1,0,0.00024752696724597816,0.03570550721415811,0.05061508532143,0.00035631075336046866,10,1.0,0.03486685578174613,0.24280524345480042,0.5335638903772334,0.14020524622610817,10,1.0,20,1.0
50,7,1,1,0.00016382702525264352,0.031900701467035324,0.045028852217972815,0.29071562473176926,10,1.0,0.0003137642887462598,0.04403229953525086,0.05990414051855886,0.16772250109785203,10,1.0,20,1.0
50,7,2,0,0.00013119428674825178,0.02348943656209934,0.03825225986711922,0.30659385788385346,10,1.0,0.012656037143525914,0.13893992909869118,0.3895818521872201,0.5197354966397815,10,1.0,20,1.0
50,7,2,1,0.0005919734299359308,0.03803965422271601,0.0858510939577577,0.05672317894209066,10,1.0,0.00827514216712925,0.11349808727233834,0.25319308587913236,0.489207676796577,10,1.0,20,1.0
50,7,3,0,0.001166246607407502,0.07435327355156743,0.1184693775712855,0.3718391718064325,10,1.0,0.02184271859777946,0.18547154323178686,0.5005465830466702,0.5262766616585792,10,1.0,20,1.0
50,7,3,1,0.00048452773264684765,0.06280202803575358,0.08027232447462684,0.22016569943587389,10,1.0,0.002457432082005248,0.10281449753154932,0.18179205388697284,0.42477985723633893,10,1.0,20,1.0
50,7,4,0,0.004377658278299149,0.1301205261727622,0.20678985717626586,0.500482700527884,10,1.0,0.035664329044964777,0.21897281211195022,0.6000417091311986,0.43582588342782996,10,1.0,20,1.0
50,7,4,1,0.0021039019333984887,0.09310736669286365,0.15755022866335688,0.3662678292308848,10,1.0,0.010511370885559552,0.15034802061302088,0.35870785032589614,0.2697813488738585,10,1.0,20,1.0
50,7,5,0,0.003563545930398937,0.15563447329789243,0.17729767495876814,0.270497849640702,10,1.0,0.03853087885618407,0.22355816255192296,0.598714639750528,0.3371155963839198,10,1.0,20,1.0
50,7,5,1,0.0028632254680277074,0.11309459424298643,0.17021427765232566,0.22254274855145836,10,1.0,0.020597523139746516,0.17439729009770366,0.4872446428431026,0.14138670982889406,10,1.0,20,1.0
50,10,1,0,0.0001763246215442004,0.03554124182144282,0.03992995810626332,0.13120181351518573,10,1.0,0.033422643072202565,0.2200546094842531,0.4987186073443969,0.13026668265545405,10,1.0,20,1.0
50,10,1,1,0.000757852039586418,0.044456595592142746,0.09747978415073921,0.030582142916273033,10,1.0,0.004765845422655289,0.0937737559305111,0.20047500062751156,0.4840188224378053,10,1.0,20,1.0
50,10,2,0,0.00016027807758298227,0.026328409126066977,0.0484806616315564,0.41632423841532273,10,1.0,0.009189684222730882,0.11640719480019382,0.3324159569064661,0.5302531842693577,10,1.0,20,1.0
50,10,2,1,0.001424798467801356,0.05499840738265682,0.10615973379053201,0.3220483685142259,10,1.0,0.011059602173865115,0.1308089554317065,0.3100278160317396,0.5316864281777656,10,1.0,20,1.0
50,10,3,0,0.001371003195213731,0.07371455116739717,0.1292634237992556,0.4656125481846494,10,1.0,0.02457353411395711,0.1888205844040764,0.5273343187458781,0.5565437659952005,10,1.0,20,1.0
50,10,3,1,0.001223310764812705,0.06912418522407476,0.12772706834040204,0.376715325907376,10,1.0,0.004124798862213895,0.11618081830715359,0.24340955252356528,0.29544005622124553,10,1.0,20,1.0
50,10,4,0,0.005349370993352294,0.13736088328636584,0.22475950636454511,0.5370096398201837,10,1.0,0.03919118870358616,0.22503394586094122,0.6221191771891721,0.4065214206028935,10,1.0,20,1.0
50,10,4,1,0.0023578825802944127,0.09456093474073593,0.17672590221982554,0.3269245654281708,10,1.0,0.012805227890930578,0.15502980090814095,0.389088400733985,0.18309839770282474,10,1.0,20,1.0
50,10,5,0,0.0037564321529022183,0.15604393977759407,0.1827778643914868,0.3491116443530448,10,1.0,0.03959414568120717,0.22675867772514824,0.5999218756967274,0.29074315426755504,10,1.0,20,1.0
50,10,5,1,0.002607324436382599,0.11520273676718447,0.1403657102627407,0.11808488106864007,10,1.0,0.018063513754813423,0.17168634099917143,0.4671306199587687,0.14009291823062198,10,1.0,20,1.0
