word,decade,mean_sim,std_sim,n_comparisons,vector_size,window,min_count,sg
moor,1700,0.8747028346127016,0.05276311368766059,9,50,3,2,0
moor,1710,0.875866903193288,0.054990155368660955,9,50,3,2,0
moor,1720,0.8866788968426816,0.026599438908719904,9,50,3,2,0
moor,1730,0.9072086884719721,0.022341748837659502,9,50,3,2,0
moor,1740,0.908433670784267,0.02359331819591722,9,50,3,2,0
moor,1750,0.8971650167241008,0.03188626803728592,9,50,3,2,0
moor,1760,0.880129905340541,0.03244426499866255,9,50,3,2,0
moor,1770,0.8641636132505309,0.031598506335040286,9,50,3,2,0
moor,1780,0.878742231031175,0.03066137147651915,9,50,3,2,0
moor,1790,0.8996401623361587,0.037328664157549034,9,50,3,2,0
inboorling,1700,0.5702179057470388,0.18947845009433936,9,50,3,2,0
inboorling,1710,0.2567288187838812,0.04676897495531922,9,50,3,2,0
inboorling,1720,0.7591570277400106,0.19655150567894566,9,50,3,2,0
inboorling,1730,0.7438866794326883,0.20770631892044292,9,50,3,2,0
inboorling,1740,0.730728478469488,0.23859578847210214,9,50,3,2,0
inboorling,1750,0.7567359978414622,0.2282848202320231,9,50,3,2,0
inboorling,1760,0.7653421090703031,0.18486229666789553,9,50,3,2,0
inboorling,1770,0.7663116290642225,0.19921574702254125,9,50,3,2,0
inboorling,1780,0.7580837151784127,0.20021729653138226,9,50,3,2,0
inboorling,1790,0.6638793323882862,0.19212102782641838,9,50,3,2,0
moor,1700,0.8701991272257218,0.029220342651404437,9,50,3,2,1
moor,1710,0.8667438105511795,0.03217949717051042,9,50,3,2,1
moor,1720,0.8671033837526786,0.0236228596403813,9,50,3,2,1
moor,1730,0.8222711672078671,0.02522908871894566,9,50,3,2,1
moor,1740,0.8552685771990896,0.0209697048942683,9,50,3,2,1
moor,1750,0.8403744317399544,0.034435590366597754,9,50,3,2,1
moor,1760,0.8669009922337457,0.024115420960286932,9,50,3,2,1
moor,1770,0.8322781632910957,0.031911241346169926,9,50,3,2,1
moor,1780,0.8679594491589412,0.018729457589224584,9,50,3,2,1
moor,1790,0.8629689793922197,0.03379681638936291,9,50,3,2,1
inboorling,1700,0.805010346438222,0.05267500072256623,9,50,3,2,1
inboorling,1710,0.7282885059524997,0.03525741114183072,9,50,3,2,1
inboorling,1720,0.8329092754402836,0.04681829385046046,9,50,3,2,1
inboorling,1730,0.7657770733753845,0.05617461545514618,9,50,3,2,1
inboorling,1740,0.8139877886546176,0.05004303319742388,9,50,3,2,1
inboorling,1750,0.8174540044524544,0.050572999799803765,9,50,3,2,1
inboorling,1760,0.8350480944660965,0.039391890801676606,9,50,3,2,1
inboorling,1770,0.789606120600152,0.04545371681068464,9,50,3,2,1
inboorling,1780,0.8291947323176612,0.043882943787573604,9,50,3,2,1
inboorling,1790,0.8282084976410331,0.0435095844349583,9,50,3,2,1
moor,1700,0.7373008939905952,0.09871908152808932,9,50,3,3,0
moor,1710,0.772678490654831,0.08080638830874447,9,50,3,3,0
moor,1720,0.8697917364866364,0.0663236446639262,9,50,3,3,0
moor,1730,0.8453988450119406,0.07163139306824495,9,50,3,3,0
moor,1740,0.8566831237653499,0.09158196969207821,9,50,3,3,0
moor,1750,0.8181283654295652,0.1054949622720924,9,50,3,3,0
moor,1760,0.8465829953571125,0.09451969655084984,9,50,3,3,0
moor,1770,0.8431465288913054,0.07992110454372016,9,50,3,3,0
moor,1780,0.8399407264616497,0.08279897635140628,9,50,3,3,0
moor,1790,0.8033360880674166,0.05739302098150816,9,50,3,3,0
inboorling,1700,0.47972798846557957,0.19310983722869834,9,50,3,3,0
